Title,Genre,Premiere,Runtime,IMDB Score,Language,Year,Month,DayOfWeek,Quarter
Yeh Ballet,Drama,2020-02-21,117,7.6,Hindi,2020,2,Fri,1
Anima,Musical/Short,2019-06-27,15,7.7,English,2019,6,Thu,2
Beasts of No Nation,War/Drama,2015-10-16,136,7.7,English/Akan,2015,10,Fri,4
Brene Brown: The Call to Courage,Documentary,2019-04-19,76,7.7,English,2019,4,Fri,2
Crip Camp: A Disability Revolution,Documentary,2020-03-25,108,7.7,English,2020,3,Wed,1
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,2017-11-17,94,7.7,English,2017,11,Fri,4
Justin Timberlake + The Tennessee Kids,Concert,2016-10-12,90,7.7,English,2016,10,Wed,4
Road to Roma,Making_of,2020-02-11,72,7.7,Spanish,2020,2,Tue,1
Roma,Drama,2018-12-14,135,7.7,Spanish,2018,12,Fri,4
If Anything Happens I Love You,Animation/Short,2020-11-20,12,7.8,English,2020,11,Fri,4
The Irishman,Crime/Drama,2019-11-27,209,7.8,English,2019,11,Wed,4
The Trial of the Chicago 7,Drama,2020-10-16,130,7.8,English,2020,10,Fri,4
A Secret Love,Documentary,2020-04-29,82,7.9,English,2020,4,Wed,2
Icarus,Documentary,2017-08-04,120,7.9,English,2017,8,Fri,3
Marriage Story,Drama,2019-12-06,136,7.9,English,2019,12,Fri,4
The Ivory Game,Documentary,2016-11-04,112,7.9,English,2016,11,Fri,4
Struggle: The Life and Lost Art of Szukaiski,Documentary,2018-12-21,105,8.0,English,2018,12,Fri,4
Chasing Coral ,Documentary,2017-07-14,89,8.1,English,2017,7,Fri,3
My Octopus Teacher,Documentary,2020-09-07,85,8.1,English,2020,9,Mon,3
Rising Phoenix,Documentary,2020-08-26,106,8.1,English,2020,8,Wed,3
13th,Documentary,2016-10-07,100,8.2,English,2016,10,Fri,4
Disclosure: Trans Lives on Screen,Documentary,2020-06-19,107,8.2,English,2020,6,Fri,2
Klaus,Animation/Christmas/Comedy/Adventure,2019-11-15,97,8.2,English,2019,11,Fri,4
Seaspiracy,Documentary,2021-03-24,89,8.2,English,2021,3,Wed,1
The Three Deaths of Marisela Escobedo,Documentary,2020-10-14,109,8.2,Spanish,2020,10,Wed,4
Cuba and the Cameraman ,Documentary,2017-11-24,114,8.3,English,2017,11,Fri,4
Dancing with the Birds,Documentary,2019-10-23,51,8.3,English,2019,10,Wed,4
Ben Platt: Live from Radio City Music Hall,Concert,2020-05-20,85,8.4,English,2020,5,Wed,2
Taylor Swift: Reputation Stadium Tour,Concert,2018-12-31,125,8.4,English,2018,12,Mon,4
Winter on Fire: Ukraine's Fight for Freedom,Documentary,2015-10-09,91,8.4,English/Ukranian/Russian,2015,10,Fri,4
Springsteen on Broadway,One_man_show,2018-12-16,153,8.5,English,2018,12,Sun,4
Emicida: AmarElo - It's All For Yesterday,Documentary,2020-12-08,89,8.6,Portuguese,2020,12,Tue,4
David Attenborough: A Life on Our Planet,Documentary,2020-10-04,83,9.0,English,2020,10,Sun,4
